,Compound,Negative,Neutral,News Org,Positive,TimeStamp,Tweets Ago
0,-0.6486,0.677,0.323,@BBCWorld,0.0,Thu Aug 23 23:06:21 +0000 2018,1
1,-0.8176,0.516,0.484,@BBCWorld,0.0,Thu Aug 23 23:03:31 +0000 2018,2
2,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 22:52:26 +0000 2018,3
3,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 22:23:28 +0000 2018,4
4,-0.0516,0.893,0.107,@BBCWorld,0.0,Thu Aug 23 21:54:22 +0000 2018,5
5,-0.6705,0.667,0.333,@BBCWorld,0.0,Thu Aug 23 21:49:26 +0000 2018,6
6,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 21:09:50 +0000 2018,7
7,-0.4019,0.722,0.278,@BBCWorld,0.0,Thu Aug 23 20:47:04 +0000 2018,8
8,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 20:46:00 +0000 2018,9
9,-0.25,0.439,0.368,@BBCWorld,0.193,Thu Aug 23 20:31:11 +0000 2018,10
10,-0.9042,0.385,0.615,@BBCWorld,0.0,Thu Aug 23 20:07:05 +0000 2018,11
11,0.4019,0.787,0.0,@BBCWorld,0.213,Thu Aug 23 19:51:03 +0000 2018,12
12,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 19:37:46 +0000 2018,13
13,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 19:12:07 +0000 2018,14
14,-0.3182,0.777,0.223,@BBCWorld,0.0,Thu Aug 23 19:10:15 +0000 2018,15
15,0.5267,0.833,0.0,@BBCWorld,0.167,Thu Aug 23 18:47:14 +0000 2018,16
16,-0.5574,0.635,0.365,@BBCWorld,0.0,Thu Aug 23 18:40:48 +0000 2018,17
17,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 18:10:34 +0000 2018,18
18,-0.8625,0.482,0.518,@BBCWorld,0.0,Thu Aug 23 17:13:10 +0000 2018,19
19,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 16:50:02 +0000 2018,20
20,0.4019,0.787,0.0,@BBCWorld,0.213,Thu Aug 23 16:36:36 +0000 2018,21
21,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 16:33:43 +0000 2018,22
22,-0.4215,0.781,0.219,@BBCWorld,0.0,Thu Aug 23 16:30:18 +0000 2018,23
23,-0.6705,0.71,0.29,@BBCWorld,0.0,Thu Aug 23 15:30:50 +0000 2018,24
24,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 15:30:42 +0000 2018,25
25,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 15:30:36 +0000 2018,26
26,-0.5994,0.822,0.178,@BBCWorld,0.0,Thu Aug 23 15:17:07 +0000 2018,27
27,0.128,0.559,0.207,@BBCWorld,0.235,Thu Aug 23 14:48:27 +0000 2018,28
28,-0.3612,0.894,0.106,@BBCWorld,0.0,Thu Aug 23 13:53:17 +0000 2018,29
29,-0.5106,0.82,0.18,@BBCWorld,0.0,Thu Aug 23 13:26:10 +0000 2018,30
30,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 13:16:44 +0000 2018,31
31,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 12:39:34 +0000 2018,32
32,-0.25,0.778,0.222,@BBCWorld,0.0,Thu Aug 23 11:32:01 +0000 2018,33
33,-0.8074,0.576,0.362,@BBCWorld,0.062,Thu Aug 23 10:56:14 +0000 2018,34
34,-0.8689,0.683,0.317,@BBCWorld,0.0,Thu Aug 23 10:46:12 +0000 2018,35
35,-0.8316,0.685,0.315,@BBCWorld,0.0,Thu Aug 23 09:54:43 +0000 2018,36
36,-0.9246,0.472,0.528,@BBCWorld,0.0,Thu Aug 23 09:35:48 +0000 2018,37
37,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 09:16:19 +0000 2018,38
38,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 09:10:34 +0000 2018,39
39,-0.2732,0.84,0.16,@BBCWorld,0.0,Thu Aug 23 08:43:11 +0000 2018,40
40,-0.6705,0.71,0.29,@BBCWorld,0.0,Thu Aug 23 08:33:26 +0000 2018,41
41,0.2598,0.887,0.0,@BBCWorld,0.113,Thu Aug 23 08:12:51 +0000 2018,42
42,-0.5574,0.753,0.247,@BBCWorld,0.0,Thu Aug 23 07:35:36 +0000 2018,43
43,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 07:28:37 +0000 2018,44
44,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 07:18:54 +0000 2018,45
45,-0.765,0.694,0.306,@BBCWorld,0.0,Thu Aug 23 05:14:44 +0000 2018,46
46,0.5334,0.762,0.0,@BBCWorld,0.238,Thu Aug 23 04:15:25 +0000 2018,47
47,0.1027,0.694,0.12,@BBCWorld,0.185,Thu Aug 23 02:28:47 +0000 2018,48
48,-0.2023,0.629,0.199,@BBCWorld,0.171,Thu Aug 23 02:20:04 +0000 2018,49
49,0.0,1.0,0.0,@BBCWorld,0.0,Thu Aug 23 00:28:17 +0000 2018,50
50,0.5106,0.708,0.0,@BBCWorld,0.292,Thu Aug 23 00:22:47 +0000 2018,51
51,0.0772,0.86,0.0,@BBCWorld,0.14,Wed Aug 22 23:48:29 +0000 2018,52
52,-0.5994,0.506,0.494,@BBCWorld,0.0,Wed Aug 22 23:29:30 +0000 2018,53
53,-0.3875,0.774,0.226,@BBCWorld,0.0,Wed Aug 22 23:01:35 +0000 2018,54
54,0.0,1.0,0.0,@BBCWorld,0.0,Wed Aug 22 22:24:04 +0000 2018,55
55,0.0,1.0,0.0,@BBCWorld,0.0,Wed Aug 22 21:33:13 +0000 2018,56
56,0.3612,0.898,0.0,@BBCWorld,0.102,Wed Aug 22 21:03:07 +0000 2018,57
57,0.0,1.0,0.0,@BBCWorld,0.0,Wed Aug 22 20:27:02 +0000 2018,58
58,-0.8555,0.39,0.61,@BBCWorld,0.0,Wed Aug 22 20:14:03 +0000 2018,59
59,0.5106,0.845,0.0,@BBCWorld,0.155,Wed Aug 22 19:15:24 +0000 2018,60
60,0.0,1.0,0.0,@BBCWorld,0.0,Wed Aug 22 18:59:06 +0000 2018,61
61,0.7184,0.714,0.0,@BBCWorld,0.286,Wed Aug 22 18:47:08 +0000 2018,62
62,0.2153,0.643,0.163,@BBCWorld,0.195,Wed Aug 22 18:32:26 +0000 2018,63
63,-0.6249,0.797,0.203,@BBCWorld,0.0,Wed Aug 22 18:31:58 +0000 2018,64
64,-0.34,0.714,0.286,@BBCWorld,0.0,Wed Aug 22 18:29:27 +0000 2018,65
65,-0.6369,0.634,0.366,@BBCWorld,0.0,Wed Aug 22 18:06:05 +0000 2018,66
66,0.5574,0.69,0.0,@BBCWorld,0.31,Wed Aug 22 17:58:12 +0000 2018,67
67,0.0,1.0,0.0,@BBCWorld,0.0,Wed Aug 22 17:22:58 +0000 2018,68
68,0.2732,0.56,0.176,@BBCWorld,0.264,Wed Aug 22 16:54:36 +0000 2018,69
69,0.2263,0.921,0.0,@BBCWorld,0.079,Wed Aug 22 16:36:12 +0000 2018,70
70,0.0,1.0,0.0,@BBCWorld,0.0,Wed Aug 22 16:34:14 +0000 2018,71
71,-0.3182,0.859,0.141,@BBCWorld,0.0,Wed Aug 22 16:01:06 +0000 2018,72
72,-0.7845,0.603,0.397,@BBCWorld,0.0,Wed Aug 22 15:58:07 +0000 2018,73
